,time,places,next_places,user_id,date,week_day,holiday,tree_index
0,0,H_0,H_0,13.0,1,5.75,0.75,0
0,0,H_0,H_1,881.0,28,3.5,0.5,1
0,0,H_0,H_2,1196.0,28,5.5,0.75,2
0,0,H_0,O_0,143.0,20,4.5,0.5,3
0,0,H_0,O_1,834.0,2,4.333333333333333,0.3333333333333333,4
0,0,H_0,O_10,834.0,14,4.0,0.5,5
0,0,H_0,O_11,1857.0,27,4.25,0.5,6
0,0,H_0,O_13,327.0,23,4.5,0.5,7
0,0,H_0,O_15,86.0,12,3.8333333333333335,0.16666666666666666,8
0,0,H_0,O_2,99.0,7,3.6666666666666665,0.3333333333333333,9
0,0,H_0,O_29,242.0,15,4.666666666666667,0.6666666666666666,10
0,0,H_0,O_3,106.0,3,7.0,1.0,11
0,0,H_0,O_4,986.0,30,3.0,0.0,12
0,0,H_0,O_50,1467.0,23,7.0,1.0,13
0,0,H_0,O_6,1129.0,2,5.5,0.5,14
0,0,H_0,O_7,99.0,31,2.0,0.0,15
0,0,H_0,O_8,2056.0,18,7.0,1.0,16
0,0,H_0,O_9,106.0,8,4.0,0.3333333333333333,17
0,0,H_0,W_0,29.0,14,3.5,0.3,18
0,0,H_0,W_1,245.0,15,2.0,0.0,19
0,0,H_0,W_2,141.0,17,3.5,0.0,20
0,0,H_0,W_3,242.0,5,2.3333333333333335,0.0,21
0,0,H_0,W_4,277.0,27,4.0,0.0,22
0,0,H_0,W_7,26.0,18,1.0,0.0,23
0,0,H_1,H_1,13.0,12,3.0,0.0,24
0,0,H_1,W_1,1143.0,22,4.142857142857143,0.2857142857142857,25
0,0,H_2,H_2,13.0,24,3.2,0.0,26
0,0,H_3,H_0,2214.0,19,4.0,0.3333333333333333,27
0,0,H_3,H_3,393.0,6,3.0,0.0,28
0,0,H_3,H_5,1196.0,12,3.6666666666666665,0.0,29
0,0,H_4,H_4,393.0,11,3.4,0.2,30
0,0,H_5,H_5,393.0,1,4.0,0.0,31
0,0,O_0,O_0,117.0,14,4.2,0.6,32
0,0,O_0,O_7,718.0,14,4.0,0.3333333333333333,33
0,0,O_1,O_1,99.0,8,4.0,0.5,34
0,0,O_10,O_10,197.0,22,6.0,1.0,35
0,0,O_11,O_11,86.0,21,4.0,0.3333333333333333,36
0,0,O_12,O_12,1876.0,1,5.333333333333333,0.3333333333333333,37
